"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Stephenson, Robert","596112","49.4","","1.2","28.9","","19.7","0.8","","",""
"Dobnak, Randy","677976","0.8","58.7","","33.2","7.3","","","","",""
"White, Mitch","669952","52.5","0.3","","3.7","1.3","28.0","","","14.3",""
"Rodríguez, Joely","570257","15.6","43.1","","3.8","37.5","","","","",""
"Santillan, Tony","663574","47.0","","","45.3","6.4","","","","","1.2"
"Suero, Wander","593833","","","75.8","","15.8","8.4","","","",""
"Valdez, César","491624","8.7","11.2","","5.2","74.9","","","","",""
"Hernández, Darwinzon","650382","73.2","0.8","","20.6","","5.4","","","",""
"Wells, Alex","649144","50.8","","","16.0","13.8","19.4","","","",""
"Clarke, Taylor","664199","53.4","","","29.0","15.7","2.0","","","",""
"Springs, Jeffrey","605488","41.9","","","30.2","27.8","","","","",""
"Wendelken, J.B.","605525","50.5","13.8","","23.6","9.6","2.5","","","",""
"Taylor, Blake","642130","72.5","","","27.5","","","","","",""
"Sale, Chris","519242","47.6","1.4","","31.5","19.6","","","","",""
"Long, Sam","669674","42.2","1.0","","2.2","20.5","34.2","","","",""
"Garcia, Bryan","650530","2.9","52.9","","26.4","17.8","","","","",""
"Gilbreath, Lucas","656458","63.1","","","35.3","","","1.6","","",""
"Lugo, Seth","607625","29.0","24.9","","14.4","3.2","28.5","","","",""
"Foster, Matt","641582","63.5","","3.4","10.6","22.5","","","","",""
"Castellanos, Humberto","528748","21.9","34.7","6.3","","10.9","26.2","","","",""
"Farmer, Buck","571656","47.2","2.1","","26.7","24.0","","","","",""
"Parker, Blake","453284","46.3","","11.1","","","7.9","34.8","","",""
"Kelly, Joe","523260","7.3","33.4","","0.3","16.2","42.8","","","",""
"Ponce, Cody","664074","42.1","","18.8","14.2","8.3","16.6","","","",""
"Coonrod, Sam","656322","19.8","53.5","1.7","15.0","8.1","0.1","","","1.7",""
"Mikolas, Miles","571945","26.4","23.0","","25.7","7.2","17.8","","","",""
"Patton, Spencer","607359","56.5","0.4","","33.6","","","9.5","","",""
"Curtiss, John","595928","50.2","","","49.6","0.1","","","","",""
"De Los Santos, Enyel","660853","68.4","","","20.5","11.0","","","","",""
"Arihara, Kohei","685503","30.3","15.9","12.8","17.5","13.5","2.4","7.5","","",""
"King, John","667463","0.1","56.9","7.3","10.2","19.8","","","","5.6",""
"Díaz, Miguel","622766","45.2","1.0","","1.9","51.9","","","","",""
"Abreu, Bryan","650556","43.3","2.0","","37.4","","17.3","","","",""
"Bleier, Richard","542947","1.3","61.6","23.2","12.6","1.3","","","","",""
"Armstrong, Shawn","542888","55.2","","33.1","","","","","","","11.7"
"Valdez, Phillips","570488","0.3","40.1","","10.5","49.1","","","","",""
"Blackburn, Paul","621112","6.5","41.6","23.9","1.6","14.2","12.2","","","",""
"Smith, Burch","572143","68.9","","0.1","1.8","13.6","15.6","","","",""
"Muller, Kyle","666205","41.4","1.0","","35.0","1.9","20.7","","","",""
"Bowden, Ben","641386","70.9","","","10.5","18.5","","","","",""
"Kranick, Max","668820","48.4","0.1","","31.9","7.4","12.2","","","",""
"Newcomb, Sean","656794","57.7","0.1","24.4","","1.3","15.9","","","","0.6"
"Cahill, Trevor","502239","6.2","29.8","18.5","","23.9","21.7","","","",""
"Rainey, Tanner","663432","64.7","","","35.2","0.2","","","","",""
"Holloway, Jordan","656548","33.4","12.2","","41.3","2.7","10.4","","","",""
"Martin, Chris","455119","39.2","14.0","18.4","","","7.8","12.5","","8.0",""
"Minaya, Juan","573668","51.4","","","3.6","44.9","","","","",""
"Barnes, Charlie","656212","0.9","43.2","","24.3","29.2","2.4","","","",""
"Keller, Kyle","664918","55.7","","","","","44.3","","","",""
"Ponce de Leon, Daniel","594965","73.7","0.2","10.0","","12.1","4.1","","","",""
"Vesia, Alex","681911","72.4","","","17.5","10.1","","","","",""
"Smith, Joe","501925","23.4","39.5","","34.9","2.2","","","","",""
"Kay, Anthony","641743","58.4","","10.8","8.9","11.4","10.5","","","",""
"Lucchesi, Joey","664192","2.8","60.2","0.3","","","35.0","1.7","","",""
"Abreu, Albert","656061","15.3","33.8","","34.9","15.9","0.2","","","",""
"Rogers, Taylor","573124","","46.0","","","","","","","54.0",""
"Lange, Alex","656638","45.2","0.2","","0.2","15.2","39.3","","","",""
"Faria, Jake","607188","56.0","0.2","","7.5","","15.8","20.5","","",""
"Kowar, Jackson","663804","55.3","","","13.0","30.4","1.3","","","",""
"Junis, Jakob","596001","34.8","4.1","17.4","","3.3","","","","40.4",""
"Machado, Andrés","600921","57.1","13.6","","19.3","10.0","","","","",""
"Mantiply, Joe","573009","7.2","44.1","","","18.4","30.3","","","",""
"Miller, Andrew","453192","16.3","19.0","","64.7","","","","","",""
"Smith, Drew","622098","51.8","4.4","27.2","4.4","4.6","7.5","","","",""
"Banda, Anthony","607455","47.9","","1.0","0.8","37.2","13.1","","","",""
"Santana, Edgar","650828","1.5","63.4","","35.1","","","","","",""
"Vest, Will","676684","56.8","","","23.6","19.6","","","","",""
"Soria, Joakim","465657","59.3","0.7","","21.3","14.4","4.3","","","",""
"Dolis, Rafael","503569","0.2","65.0","","23.0","","","11.9","","",""
"Garrett, Braxton","666129","33.4","15.7","","","11.8","17.9","","","21.2",""
"Wilson, Justin","458677","58.1","","35.6","6.3","","","","","",""
"Sandlin, Nick","680704","15.9","35.5","","46.4","","","2.2","","",""
"Okert, Steven","595345","32.1","8.3","","59.6","","","","","",""
"Gilbert, Tyler","656457","24.5","16.5","45.0","","","7.7","6.3","","",""
"Neidert, Nick","663734","47.0","","0.2","30.3","12.0","10.5","","","",""
"Sanchez, Aaron","592717","18.7","30.6","","","20.2","30.6","","","",""
"Burr, Ryan","621114","50.3","","39.3","10.5","","","","","",""
"Yang, Hyeon-Jong","660365","45.8","","","23.0","27.4","3.9","","","",""
"Chatwood, Tyler","543022","8.0","46.0","36.2","","3.6","6.3","","","",""
"Claudio, Alex","592222","14.3","34.2","","27.1","24.4","","","","",""
"Sadler, Casey","594987","0.3","27.0","40.8","","0.3","31.5","","","",""
"Oviedo, Luis","665854","50.5","","","21.2","6.2","22.1","","","",""
"Brach, Brad","542960","47.5","3.5","0.2","13.0","35.9","","","","",""
"Ramirez, Noé","598287","37.5","","","","29.9","32.6","","","",""
"Lowther, Zac","675912","54.1","","","13.1","17.2","15.6","","","",""
"Barnes, Jacob","606930","54.7","","37.0","0.9","7.4","","","","",""
"Webb, Jacob","657097","44.5","","","","46.1","9.3","","","",""
"Harper, Ryne","607560","21.9","","","15.5","","62.6","","","",""
"Slegers, Aaron","642083","15.9","41.5","","33.4","9.2","","","","",""
"Maples, Dillon","596027","33.1","18.6","","35.8","","12.6","","","",""
"Swanson, Erik","657024","59.9","","","19.0","","","21.1","","",""
"Goudeau, Ashton","623485","45.3","","","","22.0","32.7","","","",""
"González, Victor","624647","","55.3","","44.7","","","","","",""
"Ginkel, Kevin","656464","59.5","0.2","","40.3","","","","","",""
"Sampson, Adrian","592716","21.3","37.7","3.6","13.0","24.4","","","","",""
"Falter, Bailey","663559","5.4","62.7","","23.4","5.8","2.7","","","",""
"Poteet, Cody","547001","48.8","","","19.3","18.2","13.7","","","",""
"Head, Louis","545343","52.4","","","47.1","0.5","","","","",""
"Cotton, Jharel","605194","46.2","","1.3","13.9","30.3","8.3","","","",""
"Hendrix, Ryan","641682","43.1","1.3","0.4","55.0","","0.2","","","",""
"Rogers, Josh","642028","50.7","0.8","","35.1","12.9","0.6","","","",""
"Cousins, Jake","664776","","37.5","","","1.5","","","","61.0",""
"Ashby, Aaron","676879","3.0","32.9","","38.5","21.6","3.9","","","",""
"Gil, Luis","661563","53.4","","","39.3","7.3","","","","",""
"Middleton, Keynan","641871","57.7","","","30.0","12.3","","","","",""
"Coulombe, Danny","543056","25.1","8.1","","42.0","","24.8","","","",""
"Antone, Tejay","622088","32.1","","","32.3","","35.5","","","",""
"Chavez, Jesse","445926","3.4","35.0","44.1","7.6","9.8","","","","",""
"Graterol, Brusdar","660813","2.5","58.7","7.5","31.4","","","","","",""
"Nelson, Jimmy","519076","33.1","","","32.5","","34.4","","","",""
"Evans, Demarcus","663770","60.3","","24.9","","","14.8","","","",""
"Tapia, Domingo","593619","15.0","58.1","1.5","19.2","6.2","","","","",""
"McGowin, Kyle","641851","10.8","20.5","","68.7","","","","","",""
"Workman, Brandon","519443","35.3","","13.8","","","50.9","","","",""
"Knehr, Reiss","663753","54.4","0.2","15.2","7.6","22.6","","","","",""
"McFarland, T.J.","519008","","68.6","0.2","6.4","23.0","","","","1.8",""
"Diplán, Marcos","650959","62.3","","","0.2","10.5","27.0","","","",""
"Kintzler, Brandon","445213","0.6","74.5","","13.9","11.0","","","","",""
"Zuber, Tyler","676604","57.9","","","18.0","6.3","4.9","","","12.8",""
"Rodriguez, Chris","669735","2.4","63.0","","5.7","4.8","24.2","","","",""
"Garza, Justin","621057","53.7","","28.8","9.3","8.2","","","","",""
"Lakins, Travis","664042","35.3","2.2","37.5","","6.2","18.8","","","",""
"García, Luis","472610","1.4","58.1","","28.7","","","11.8","","",""
"Quijada, José","650671","73.3","","","13.0","13.6","","","","",""
"Nolin, Sean","543594","46.1","0.6","23.4","0.2","15.6","14.0","","","",""
"Brault, Steven","643230","39.6","13.9","","21.1","21.5","4.0","","","",""
"Selman, Sam","572125","55.1","0.4","","44.5","","","","","",""
"Santiago, Héctor","502327","65.4","1.6","","7.3","25.5","0.2","","","",""
"Rucker, Michael","621074","29.6","7.3","24.9","10.8","7.3","20.0","","","",""
"Murphy, Patrick","641907","36.4","29.2","","","1.4","32.9","","","",""
"Garza Jr., Ralph","621248","19.0","29.7","8.7","31.1","8.5","3.1","","","",""
"Thompson, Ryan","657044","15.3","40.6","4.8","38.1","1.2","","","","",""
"Wantz, Andrew","681806","45.5","","29.0","15.9","7.7","","","","1.9",""
"Cabrera, Edward","665795","38.6","","","20.5","23.7","17.2","","","",""
"Ellis, Chris","595939","48.1","","","30.7","8.5","12.7","","","",""
"Lorenzen, Michael","547179","27.2","9.1","29.1","13.3","18.3","2.7","","","0.2",""
"Davis, Austin","656354","51.0","1.1","","37.0","9.9","1.1","","","",""
"Farrell, Luke","608652","40.2","","","51.6","1.9","6.3","","","",""
"Sánchez, Miguel","667376","37.9","","","10.9","51.3","","","","",""
"Campbell, Paul","669294","44.9","1.3","","29.1","6.0","18.8","","","",""
"Bedrosian, Cam","592135","50.2","","","24.6","","","25.2","","",""
"Greene, Shane","572888","1.1","33.5","29.3","","7.9","","","","28.2",""
"Hale, David","571735","46.9","8.7","","","24.3","20.2","","","",""
"Benjamin, Wes","605138","43.8","","28.2","0.7","12.6","14.8","","","",""
"Dugger, Robert","667498","32.5","10.0","","21.0","3.9","32.5","","","",""
"Megill, Trevor","656730","66.5","","","18.0","","15.4","","","",""
"Ríos, Yacksel","605441","29.5","31.4","","24.7","","","14.4","","",""
"Nance, Tommy","667297","18.6","43.4","","11.0","","27.0","","","",""
"Sheffield, Jordan","642068","64.5","0.2","","18.4","16.9","","","","",""
"Barlow, Joe","669618","45.5","1.1","","40.7","","12.7","","","",""
"Pérez, Cionel","672335","64.3","","","","7.7","","","","","28.0"
"Castro, Anthony","621593","50.9","0.7","","47.4","1.1","","","","",""
"Mears, Nick","683232","64.2","","","","","35.8","","","",""
"Doval, Camilo","666808","0.7","","40.9","58.4","","","","","",""
"Otto Jr., Glenn","657248","48.4","2.9","","","3.6","9.8","","","35.3",""
"Fulmer, Carson","608334","39.3","1.1","24.6","","15.0","20.1","","","",""
"Greene, Conner","641632","35.8","12.3","","31.1","8.9","11.9","","","",""
"Díaz, Yennsy","660546","64.2","","","7.6","28.2","","","","",""
"Peters, Dillon","596071","34.8","16.7","","","32.3","16.3","","","",""
"Morgan, Adam","605388","13.8","21.0","","47.1","7.5","10.6","","","",""
"Eshelman, Thomas","664045","5.4","43.1","","26.8","14.3","10.4","","","",""
"Romano, Sal","607219","1.4","61.1","","35.5","","2.1","","","",""
"Anderson, Shaun","641312","33.2","2.7","","61.1","1.4","1.6","","","",""
"Ramírez, Yohan","670990","53.0","1.4","","","","","","","45.6",""
"Marshall, Evan","605359","24.1","12.4","","","35.2","28.3","","","",""
"Crick, Kyle","605195","37.1","1.6","","60.8","0.5","","","","",""
"Saucedo, Tayler","642048","10.0","46.5","","21.8","10.4","11.3","","","",""
"Pomeranz, Drew","519141","75.3","","","","","24.7","","","",""
"Gsellman, Robert","607229","5.2","57.4","","19.7","16.4","1.4","","","",""
"Thompson, Mason","666168","2.6","82.5","","13.7","1.2","","","","",""
"Alexy, A.J.","669935","54.5","","","19.3","18.2","8.0","","","",""
"Mejía, Humberto","650668","43.0","20.2","","17.1","15.9","3.8","","","",""
"Mazza, Chris","607391","4.4","28.8","35.8","29.1","1.9","","","","",""
"Rodriguez, Jefry","622446","51.5","23.1","0.5","","2.9","22.1","","","",""
"Ryan, Joe","657746","65.8","","","16.0","10.4","7.8","","","",""
"Clippard, Tyler","461325","25.6","17.8","","2.4","34.1","4.9","15.1","","",""
"Poppen, Sean","664092","0.2","53.2","","37.9","8.6","","","","",""
"Hammer, JD","670456","59.3","2.2","","37.3","","1.2","","","",""
"Crichton, Stefan","592233","0.7","67.4","","","4.0","27.9","","","",""
"Whitley, Kodi","676831","56.9","","","15.2","27.9","","","","",""
"Wick, Rowan","592858","60.3","","8.3","9.5","","22.0","","","",""
"Knebel, Corey","608349","58.1","","","","","41.9","","","",""
"Milner, Hoby","571948","52.9","3.3","","","7.9","","","","35.9",""
"Ramírez, Erasmo","541640","6.6","38.8","45.2","0.8","8.2","0.5","","","",""
"Webb, Tyler","643778","38.8","29.1","","","18.6","13.5","","","",""
"Jackson, Jay","543351","34.5","","","64.7","0.8","","","","",""
"Naughton, Packy","676050","32.4","24.5","","13.1","27.7","2.3","","","",""
"Detmers, Reid","672282","45.1","","","24.0","4.7","26.1","","","",""
"Fernández, Junior","658551","43.3","4.0","","21.2","31.5","","","","",""
"Reid-Foley, Sean","656887","62.8","0.3","","24.0","12.9","","","","",""
"Feliz, Michael","593140","58.1","","","34.3","7.6","","","","",""
"Borucki, Ryan","621366","","58.3","","32.8","8.9","","","","",""
"May, Dustin","669160","19.0","39.7","18.5","4.9","","","","","17.9",""
"Hess, David","605276","58.0","","","38.1","3.5","0.3","","","",""
"Albers, Andrew","452027","31.8","32.1","","14.8","14.5","6.8","","","",""
"Strasburg, Stephen","544931","29.8","24.0","","","16.0","30.1","","","",""
"Uceta, Edwin","670955","44.3","","","","41.3","14.4","","","",""
"Enns, Dietrich","608650","58.6","","36.9","","2.5","1.9","","","",""
"Guenther, Sean","674944","56.9","","","34.2","8.9","","","","",""
"Baragar, Caleb","670056","81.0","","","17.3","","1.7","","","",""
"Eickhoff, Jerad","595191","48.5","0.3","","28.6","7.3","15.4","","","",""
"Cleavinger, Garrett","664076","53.4","1.1","","45.5","","","","","",""
"Scrubb, Andre","668687","","","54.0","4.5","","41.5","","","",""
"Perdomo, Angel","622780","65.0","","","22.9","12.1","","","","",""
"Anderson, Drew","623454","49.4","","","20.2","14.2","16.2","","","",""
"Abbott, Cory","676265","59.1","","","17.9","6.3","16.8","","","",""
"Krol, Ian","571871","18.3","17.2","0.9","38.7","13.5","11.5","","","",""
"De León, José","592254","62.8","","","","22.5","","","","14.7",""
"Lindblom, Josh","458676","37.1","4.4","16.7","14.3","12.3","10.5","4.7","","",""
"Martin, Corbin","656686","64.0","","","9.6","14.9","11.4","","","",""
"Hutchison, Drew","571800","46.3","6.5","","35.7","11.5","","","","",""
"Nelson, Nick","656793","53.8","","","8.3","34.0","3.8","","","",""
"Warren, Art","605521","40.5","","","59.5","","","","","",""
"Castano, Daniel","641447","40.2","10.2","0.9","35.1","13.5","","","","",""
"Brebbia, John","605154","49.4","","","49.1","1.5","","","","",""
"Archer, Chris","502042","45.0","","","41.9","12.8","0.3","","","",""
"Britton, Zack","502154","","83.8","","16.2","","","","","",""
"Lawrence, Justin","664875","","65.0","","","","","","","35.0",""
"Wright Jr., Mike","605541","38.5","22.2","","30.2","9.2","","","","",""
"Lovelady, Richard","663992","33.7","16.5","","49.8","","","","","",""
"Yardley, Eric","642233","","73.0","","","6.3","20.6","","","",""
"Ramirez, Nick","598286","1.3","29.0","18.5","10.8","39.5","1.0","","","",""
"Jones, Nate","518858","26.2","36.6","","36.2","1.0","","","","",""
"Stashak, Cody","664054","45.5","","","51.9","2.6","","","","",""
"Davidson, Tucker","656353","49.8","","","40.3","0.7","9.2","","","",""
"Pearson, Nate","663878","62.8","","","34.6","1.0","1.7","","","",""
"Rodríguez, Manuel","655889","29.0","42.7","","28.3","","","","","",""
"Herget, Jimmy","623474","17.1","32.4","","24.1","1.3","","","","25.1",""
"Abad, Fernando","472551","6.4","46.5","5.4","","15.7","26.1","","","",""
"Conley, Adam","543045","54.1","","","17.2","28.7","","","","",""
"Miller, Justin","502522","52.5","19.7","","27.8","","","","","",""
"Buchter, Ryan","488748","51.4","","11.2","","","37.4","","","",""
"Gustave, Jandel","594311","19.7","54.8","","25.5","","","","","",""
"Wieck, Brad","623364","84.6","","","3.4","","11.9","","","",""
"Law, Derek","571882","22.6","5.1","2.7","55.8","3.8","9.9","","","",""
"Zeuch, T.J.","643615","1.7","56.3","15.4","19.2","7.3","","","","",""
"Bukauskas, J.B.","656266","43.4","3.8","","42.0","10.8","","","","",""
"Warren, Austin","681810","34.6","18.5","0.7","43.0","3.1","","","","",""
"García, Edgar","658305","18.1","34.2","","40.2","7.5","","","","",""
"Sherriff, Ryan","595411","","56.5","","41.7","1.8","","","","",""
"Newsome, Ljay","664714","58.0","","","","23.6","18.5","","","",""
"Brice, Austin","592169","44.5","14.2","","","2.6","38.7","","","",""
"Overton, Connor","656818","38.7","12.4","1.5","19.0","24.1","4.0","","","0.4",""
"Miller, Shelby","571946","63.4","","22.3","","","","","","14.3",""
"Duplantier, Jon","641541","36.7","24.8","","16.3","8.9","13.3","","","",""
"Barraclough, Kyle","607457","50.7","1.5","","44.8","3.0","","","","",""
"Burrows, Beau","663366","57.7","","","29.6","10.9","1.9","","","",""
"Frankoff, Seth","571676","39.6","","","30.4","18.5","11.5","","","",""
"Margevicius, Nick","676606","72.6","","","6.6","","17.8","3.1","","",""
"Alexander, Scott","518397","","74.1","","17.4","8.5","","","","",""
"Bruihl, Justin","677865","","12.2","58.0","","","","","","29.8",""
"Paredes, Enoli","660600","66.1","","","29.1","","4.7","","","",""
"Thorpe, Lewis","626929","45.4","","","31.1","14.3","9.2","","","",""
"Dayton, Grant","594795","64.4","0.8","","","","34.8","","","",""
"Heasley, Jonathan","669169","46.0","3.2","","0.4","23.6","26.8","","","",""
"Wade, Konner","592831","1.2","31.9","30.6","","33.9","2.4","","","",""
"Menez, Conner","669214","34.0","","","61.9","","4.0","","","",""
"Junk, Janson","676083","51.8","","","","2.8","21.9","0.4","","23.1",""
"Lambert, Jimmy","669424","52.4","","","21.5","21.1","4.9","","","",""
"Phillips, Evan","623465","43.0","1.6","0.4","","10.7","","","","44.3",""
"Puk, A.J.","640462","40.3","24.7","","28.0","4.5","2.5","","","",""
"Milone, Tommy","543548","31.1","","","10.8","43.2","14.9","","","",""
"Emanuel, Kent","592288","","52.9","","","18.8","","","","28.3",""
"Yajure, Miguel","664337","27.2","6.3","15.9","12.6","23.8","14.2","","","",""
"Díaz, Jhonathan","646242","27.0","28.3","","29.1","13.9","1.7","","","",""
"Stewart, Kohl","640464","5.5","38.0","39.7","8.0","5.1","3.8","","","",""
"Osich, Josh","592612","3.5","6.9","64.9","5.6","19.0","","","","",""
"Mills, Wyatt","670090","23.9","47.0","","29.1","","","","","",""
"Sherfy, James","642073","35.2","","","63.0","0.9","0.9","","","",""
"Guduan, Reymin","594056","60.7","3.1","","36.2","","","","","",""
"Solomon, Peter","656981","51.1","","14.1","6.6","7.5","20.7","","","",""
"Ryan, Kyle","594986","26.2","40.0","22.7","","","11.1","","","",""
"Effross, Scott","664123","18.9","40.1","","","9.9","","","","31.1",""
"Elledge, Seth","676220","","69.2","","29.9","0.9","","","","",""
"Jefferies, Daulton","641726","12.3","45.9","14.1","10.0","17.7","","","","",""
"Williams, Taylor","592865","31.5","22.8","","45.7","","","","","",""
"Adam, Jason","592094","57.3","","","15.6","10.6","16.5","","","",""
"Merryweather, Julian","657240","54.4","","","23.5","13.4","7.8","","","0.9",""
"Jewell, Jake","657228","37.2","30.2","","20.0","12.6","","","","",""
"Baldonado, Alberto","593604","60.0","0.5","","34.4","5.1","","","","",""
"López, Yoan","661255","51.6","","","48.4","","","","","",""
"Madero, Luís","650347","36.9","2.8","","50.0","10.3","","","","",""
"Hartlieb, Geoff","664129","23.0","32.9","8.0","36.2","","","","","",""
"Waddell, Brandon","663399","46.9","4.7","","41.8","6.6","","","","",""
"Sánchez, Cristopher","650911","","63.0","","15.6","21.3","","","","",""
"Cody, Kyle","621129","39.2","9.6","","36.8","14.4","","","","",""
"Robertson, David","502085","0.5","","73.6","9.1","","16.8","","","",""
"Kazmir, Scott","431148","54.1","0.5","","14.5","30.9","","","","",""
"Hicks, Jordan","663855","1.4","68.1","15.5","","","","3.4","","11.6",""
"Kela, Keone","605309","53.2","","","","0.5","46.3","","","",""
"Castro, Kervin","665645","73.6","0.5","0.5","","","25.4","","","",""
"Jackson, Andre","656578","46.2","","","12.6","39.2","2.0","","","",""
"Bettinger, Alec","676424","63.8","","9.5","5.0","4.5","17.1","","","",""
"Swarzak, Anthony","461872","42.7","1.5","","55.8","","","","","",""
"Morimando, Shawn","596049","32.7","9.5","30.2","","2.5","25.1","","","",""
"Sceroler, Mac","669135","56.1","","","11.1","","12.1","20.7","","",""
"Foley, Jason","671345","12.6","59.6","","24.7","3.0","","","","",""
"Rowen, Ben","594985","2.5","46.0","","51.5","","","","","",""
"Beasley, Jeremy","676886","55.6","","","24.7","","1.0","18.7","","",""
"Baz, Shane","669358","54.5","","","21.2","5.6","18.7","","","",""
"Brasier, Ryan","518489","68.5","","","25.9","","5.6","","","",""
"Klobosits, Gabe","656620","66.0","","","13.4","","","20.6","","",""
"Kriske, Brooks","621139","54.1","","1.0","5.7","","","38.1","","1.0",""
"Tyler, Kyle","667725","","","62.6","31.1","2.6","3.7","","","",""
"Kolarek, Adam","592473","1.1","72.1","","10.5","16.3","","","","",""
"O'Day, Darren","503285","45.5","5.8","","48.7","","","","","",""
"Hanhold, Eric","621098","49.7","7.9","","24.9","17.5","","","","",""
"Phelps, David","475479","29.6","10.6","29.6","","4.2","25.9","","","",""
"Bergen, Travis","664157","87.2","","","1.6","","11.2","","","",""
"Knight, Dusten","643400","38.7","","0.5","","33.3","27.4","","","",""
"Biddle, Jesse","592145","45.7","7.5","","16.7","","30.1","","","",""
"Baumann, Mike","657508","55.7","","","35.1","3.2","5.9","","","",""
"Hoyt, James","624586","8.2","24.7","","64.8","2.2","","","","",""
"Vincent, Nick","543883","47.8","1.1","40.7","2.7","7.7","","","","",""
"Sanmartin, Reiver","665665","28.7","19.3","","27.6","24.3","","","","",""
"Burdi, Zack","641420","51.4","","","31.1","17.5","","","","",""
"Santos, Antonio","665733","59.7","3.4","","8.5","12.5","15.9","","","",""
"Nelson, Kyle","669459","17.6","","41.5","","","","","","40.9",""
"Acevedo, Domingo","642758","50.0","0.6","","28.7","20.7","","","","",""
"Camarena, Daniel","547176","19.5","33.3","","29.9","6.3","10.9","","","",""
"Romero, JoJo","668941","35.1","27.5","2.3","14.6","20.5","","","","",""
"Stock, Robert","476594","61.3","","13.1","11.9","11.9","1.8","","","",""
"Moll, Sam","594580","1.8","53.3","","","","","","","44.9",""
"Hatch, Thomas","641672","42.2","15.7","19.3","","22.9","","","","",""
"Morán, Jovani","663558","52.5","","","0.6","46.9","","","","",""
"Reed, Jake","596082","2.5","34.4","","63.1","","","","","",""
"Weber, Ryan","543901","","65.6","1.9","21.9","6.9","3.8","","","",""
"Oswalt, Corey","621261","55.8","","","17.3","26.9","","","","",""
"García, Deivi","665620","41.2","","","4.6","19.6","19.0","","","15.7",""
"Fiers, Mike","571666","23.0","32.9","","25.0","11.2","7.9","","","",""
"Meisinger, Ryan","664682","37.6","20.8","","34.2","7.4","","","","",""
"Reed, Cody","642003","6.8","54.1","","37.2","2.0","","","","",""
"Guerra, Javy","457915","45.9","8.8","","33.8","2.7","8.8","","","",""
"McCaughan, Darren","670766","8.8","44.9","","31.3","15.0","","","","",""
"Llovera, Mauricio","661440","51.7","0.7","2.8","34.5","10.3","","","","",""
"Devenski, Chris","606965","33.8","","","9.0","48.3","5.5","","","3.4",""
"Rosso, Ramón","665759","59.0","","","35.4","5.6","","","","",""
"Schmidt, Clarke","657376","20.3","23.1","","18.2","9.8","28.7","","","",""
"Feltner, Ryan","663372","53.5","","0.7","28.9","7.7","9.2","","","",""
"Tice, Ty","676709","43.0","0.7","","37.3","0.7","18.3","","","",""
"Ortega, Oliver","661383","55.4","","","","","44.6","","","",""
"Harvey, Hunter","640451","63.3","","","7.9","","20.1","8.6","","",""
"Medina, Adonis","658431","23.4","18.2","","22.6","24.1","11.7","","","",""
"Fry, Jace","605240","14.0","35.3","22.8","","11.8","16.2","","","",""
"Strahm, Matt","621381","46.3","10.3","22.1","","8.1","13.2","","","",""
"Petricka, Jake","502593","","52.6","","11.1","36.3","","","","",""
"Harris, Will","501789","2.2","","78.5","","","19.3","","","",""
"Weems, Jordan","607179","59.7","","","29.9","","0.7","9.7","","",""
"Krehbiel, Joey","607216","38.3","0.8","43.6","1.5","15.8","","","","",""
"Wright, Kyle","657140","34.6","17.3","","27.1","6.8","14.3","","","",""
"Roark, Tanner","543699","22.9","17.6","","22.9","14.5","22.1","","","",""
"Crouse, Hans","668968","26.7","19.8","","37.4","16.0","","","","",""
"Hudson, Dakota","641712","11.5","44.3","","24.4","3.8","16.0","","","",""
"Northcraft, Aaron","573062","8.5","64.3","","13.2","14.0","","","","",""
"Núñez, Darien","628345","45.7","4.7","","2.4","47.2","","","","",""
"Lambert, Peter","663567","38.2","","","4.9","38.2","18.7","","","",""
"Pérez, Francisco","660906","54.1","0.8","","32.8","12.3","","","","",""
"Tropeano, Nick","607374","16.7","28.3","","28.3","15.8","","10.8","","",""
"Fernández, Julian","642759","84.6","","","","15.4","","","","",""
"Gose, Anthony","543238","73.0","","","27.0","","","","","",""
"Rodriguez, Nivaldo","670550","34.2","23.7","","15.8","14.9","11.4","","","",""
"Cole, A.J.","595918","42.1","","19.3","23.7","3.5","11.4","","","",""
"Yamamoto, Jordan","657141","23.4","9.0","27.0","22.5","12.6","5.4","","","",""
"Edwards Jr., Carl","605218","63.1","","","","","36.9","","","",""
"Snead, Kirby","669912","17.1","25.2","","40.5","17.1","","","","",""
"Pruitt, Austin","643493","35.5","","","38.2","5.5","20.9","","","",""
"Hunter, Tommy","488984","2.8","41.3","42.2","","","13.8","","","",""
"Coleman, Dylan","669395","58.7","1.8","","38.5","","","","","0.9",""
"Avilán, Luis","501593","","42.6","","","50.9","6.5","","","",""
"Bolaños, Ronald","671790","17.9","34.0","","28.3","3.8","16.0","","","",""
"Speier, Gabe","642100","24.8","36.2","","36.2","2.9","","","","",""
"Aguilar, Miguel","620396","59.6","","","19.2","2.9","18.3","","","",""
"Gibaut, Ian","664139","40.4","","","27.9","31.7","","","","",""
"Anderson, Nick","623433","56.9","9.8","","","1.0","32.4","","","",""
"Newberry, Jake","623470","45.0","","","52.0","3.0","","","","",""
"Severino, Luis","622663","43.9","","2.0","27.6","26.5","","","","",""
"Peacock, Brad","502748","22.1","22.1","","","21.1","3.2","","","31.6",""
"Norwood, James","656803","70.2","","","4.3","","","25.5","","",""
"Adon, Joan","672851","50.0","4.3","","38.3","6.4","1.1","","","",""
