"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Bassitt, Chris","605135","13.2","33.4","17.3","8.0","6.1","13.9","","","8.2",""
"Bieber, Shane","669456","34.4","","15.8","29.5","2.3","17.9","","","",""
"Freeland, Kyle","607536","23.4","22.1","22.5","","13.8","18.2","","","",""
"Márquez, Germán","608566","30.9","23.1","","20.9","3.0","22.1","","","",""
"Gonzales, Marco","594835","23.2","13.3","19.5","","30.5","13.4","","","",""
"Musgrove, Joe","605397","24.0","6.8","19.5","24.6","6.3","18.9","","","",""
"Fried, Max","608331","31.4","14.4","","18.4","14.1","21.5","","","0.1",""
"McKenzie, Triston","663474","56.1","","","21.9","","21.9","","","",""
"Taillon, Jameson","592791","36.1","11.0","11.8","17.8","8.3","14.8","","","0.1",""
"Gausman, Kevin","592332","48.8","","","14.4","1.3","","35.5","","",""
"Giolito, Lucas","608337","47.7","0.0","","23.6","25.5","3.2","","","",""
"Gibson, Kyle","502043","12.0","28.0","21.5","17.1","10.8","7.0","","","3.6",""
"Quintana, Jose","500779","36.0","16.4","","","19.5","22.0","","","","6.2"
"Berríos, José","621244","28.3","25.4","","","15.4","","","","","30.9"
"Montgomery, Jordan","656756","16.5","35.2","3.8","","22.2","22.3","","","",""
"Bumgarner, Madison","518516","32.0","1.5","36.3","0.2","11.3","18.7","","","",""
"Wright, Kyle","657140","19.2","24.0","","7.2","15.5","34.1","","","",""
"Lauer, Eric","641778","44.2","0.3","20.0","16.8","3.1","15.7","","","",""
"Keller, Mitch","656605","32.4","23.2","","6.3","6.5","15.4","","","16.2",""
"Urquidy, José","664353","52.5","0.2","4.8","","14.8","14.1","","","13.5",""
"Ohtani, Shohei","660271","27.3","3.7","8.9","2.4","","8.5","11.9","","37.4",""
"Corbin, Patrick","571578","16.1","46.2","0.0","29.4","8.3","0.0","","","",""
"Urías, Julio","628711","49.2","","","","17.5","","","","","33.3"
"Irvin, Cole","608344","36.4","22.7","1.9","","18.2","7.4","","","","13.4"
"Verlander, Justin","434378","50.4","0.0","","28.3","2.4","18.8","","","",""
"Gray, Josiah","680686","38.4","4.5","0.5","29.0","2.8","24.8","","","",""
"Anderson, Tyler","542881","39.7","5.4","22.0","","31.6","1.2","","","",""
"Suarez, Ranger","624133","17.9","39.9","9.4","3.5","21.4","7.8","","","",""
"Javier, Cristian","664299","59.8","0.1","","","4.1","8.3","","","27.6",""
"Dunning, Dane","641540","0.2","39.7","11.9","26.6","20.2","0.0","","","1.3",""
"Woodruff, Brandon","605540","38.3","21.6","","11.3","16.3","12.6","","","",""
"Castillo, Luis","622491","32.9","23.8","","21.1","22.3","","","","",""
"Walker, Taijuan","592836","29.7","11.1","6.8","16.0","","8.7","27.6","","0.1",""
"Manaea, Sean","640455","45.2","15.7","","13.1","24.6","0.1","","","1.3",""
"Garcia, Luis","677651","41.9","0.5","29.7","","9.2","10.1","","","8.6",""
"Cortes, Nestor","641482","46.9","0.0","29.8","","4.4","0.3","","","18.6",""
"McClanahan, Shane","663556","35.6","","","15.4","25.4","23.5","","","",""
"Sandoval, Patrick","663776","22.7","14.3","","29.1","24.6","9.2","","","0.1",""
"Kluber, Corey","446372","1.5","26.7","34.2","","10.3","27.3","","","",""
"Lynch IV, Daniel","663738","43.2","3.0","","29.3","18.2","6.3","","","",""
"Fedde, Erick","607200","0.1","39.8","27.6","","3.6","27.6","","","1.3",""
"Cobb, Alex","502171","0.3","41.8","","0.0","","15.3","42.5","","",""
"Carrasco, Carlos","471911","35.4","11.4","","24.5","24.6","4.1","","","",""
"Ryan, Joe","657746","60.1","","","18.1","12.1","7.2","","","2.6",""
"Brubaker, JT","664141","5.7","42.2","","31.0","5.1","16.0","","","",""
"Singer, Brady","663903","0.5","53.8","","38.0","7.7","","","","",""
"Kuhl, Chad","641771","3.3","41.4","","36.7","7.2","11.5","","","",""
"Cueto, Johnny","456501","19.0","24.0","19.8","16.4","20.1","0.6","","","",""
"Wheeler, Zack","554430","42.3","17.1","26.9","","1.8","11.9","","","",""
"Snell, Blake","605483","55.5","","","24.3","5.0","15.1","","","",""
"Montas, Frankie","593423","28.3","22.3","8.5","15.4","","","25.5","","",""
"Davies, Zach","605200","16.5","37.8","5.6","1.0","33.3","5.8","","","",""
"Strider, Spencer","675911","67.0","","","28.2","4.8","","","","",""
"Keller, Brad","641745","35.3","22.8","","36.2","5.8","","","","",""
"Greinke, Zack","425844","38.2","2.4","15.3","7.4","16.5","20.3","","","",""
"Bubic, Kris","663460","50.4","0.1","","","27.8","21.7","","","",""
"Hudson, Dakota","641712","20.3","35.8","","26.3","4.0","13.6","","","",""
"Wood, Alex","622072","0.4","45.1","","35.9","18.6","","","","",""
"Rasmussen, Drew","656876","35.7","3.9","32.5","0.5","","4.4","","","23.0",""
"Kaprielian, James","621076","48.4","6.0","0.1","22.8","10.1","12.5","","","",""
"Otto Jr., Glenn","657248","22.3","27.6","","","7.5","15.0","","","27.5",""
"Flexen, Chris","623167","39.3","0.2","32.4","6.1","16.1","3.6","","","2.2",""
"Greene, Hunter","668881","53.9","","","41.0","5.2","","","","",""
"Stroman, Marcus","573186","8.2","40.5","10.5","5.1","","","12.0","","","23.8"
"Detmers, Reid","672282","43.7","1.3","","24.0","11.3","18.2","","","1.6",""
"Bundy, Dylan","605164","40.1","6.6","","24.0","18.7","10.6","","","",""
"Scherzer, Max","453286","45.4","","9.0","23.8","12.6","9.2","","","",""
"Plesac, Zach","668676","43.4","0.1","","24.3","21.8","10.4","","","",""
"Springs, Jeffrey","605488","40.4","0.1","","24.8","34.7","","","","",""
"Mahle, Tyler","641816","51.8","0.2","12.9","11.4","","","23.6","","",""
"Kirby, George","669923","45.7","11.9","12.2","0.3","8.0","13.3","","","8.6",""
"Thompson, Zach","605507","16.5","20.8","33.3","","8.5","20.9","","","",""
"Gray, Jon","592351","49.7","0.8","","0.5","9.3","4.1","","","35.5",""
"Gomber, Austin","596295","40.6","0.1","","24.6","17.6","17.1","","","",""
"Stripling, Ross","548389","33.9","7.3","","21.9","27.2","9.6","","","",""
"Steele, Justin","657006","56.2","8.0","","31.1","2.1","2.6","","","",""
"Lynn, Lance","458681","44.9","14.1","26.1","2.5","3.8","8.6","","","",""
"Syndergaard, Noah","592789","14.9","32.0","1.6","17.4","19.7","14.3","0.0","","",""
"Gonsolin, Tony","664062","39.1","0.1","","21.4","","11.9","27.5","","",""
"Kopech, Michael","656629","61.5","0.2","","25.7","1.2","11.3","","","",""
"Anderson, Ian","666120","48.0","","","","33.4","18.7","","","",""
"Bradish, Kyle","680694","43.6","6.6","","29.7","7.1","12.9","","","",""
"Hill, Rich","448179","35.7","","12.9","","4.2","36.5","","","10.6",""
"Wacha, Michael","608379","32.4","13.1","17.2","0.1","29.7","7.4","","","",""
"Kremer, Dean","665152","33.3","8.2","30.9","","14.1","12.3","1.2","","",""
"Rogers, Trevor","669432","52.7","0.2","","","29.2","0.1","","","17.8",""
"Clevinger, Mike","605182","37.8","14.1","14.8","","9.4","3.3","","","20.7",""
"Skubal, Tarik","669373","26.6","21.2","","30.9","14.9","6.4","","","",""
"Peterson, David","656849","37.9","11.5","","29.1","16.5","5.0","","","",""
"Thompson, Keegan","624522","46.4","5.7","21.5","","4.7","17.5","","","4.2",""
"Ashby, Aaron","676879","3.3","34.0","","29.2","20.7","12.7","","","",""
"Espino, Paolo","502179","48.0","","","0.1","4.7","25.9","","","21.3",""
"Gray, Sonny","543243","27.8","26.4","0.1","9.9","1.0","24.6","","","10.3",""
"Houser, Adrian","605288","18.0","47.5","","13.4","9.4","11.7","","","",""
"Kikuchi, Yusei","579328","50.5","0.1","5.4","30.3","13.4","0.3","","","",""
"Kershaw, Clayton","477132","40.0","0.4","","42.7","0.6","16.3","","","",""
"Wilson, Bryse","669060","24.2","32.6","3.3","12.5","9.2","12.8","5.3","","",""
"Junis, Jakob","596001","0.4","32.0","0.8","","16.1","","","","50.7",""
"Odorizzi, Jake","543606","38.5","12.7","21.2","7.2","","3.8","16.6","","",""
"Heasley, Jonathan","669169","49.1","0.1","","12.5","21.3","17.0","","","",""
"Archer, Chris","502042","35.7","","","44.3","14.7","5.3","","","",""
"Hearn, Taylor","621368","48.0","14.7","1.6","27.0","8.7","","","","",""
"Suarez, José","660761","34.2","8.4","","19.5","24.4","12.7","","","0.9",""
"Blackburn, Paul","621112","11.6","33.9","19.5","","12.7","17.6","","","4.7",""
"Voth, Austin","608723","41.2","","21.6","","","31.3","0.8","","5.1",""
"Hutchison, Drew","571800","40.4","12.2","","37.1","10.2","","","","",""
"Ashcraft, Graham","668933","0.4","20.7","51.1","27.1","0.7","","","","",""
"Pallante, Andre","669467","52.9","10.6","","19.6","0.1","16.8","","","",""
"Minor, Mike","501985","41.3","0.3","","24.9","23.1","10.4","","","",""
"Eovaldi, Nathan","543135","38.2","0.2","10.1","12.2","","18.5","20.9","","",""
"Smyly, Drew","592767","0.2","36.8","19.7","","0.3","42.9","","","",""
"Martinez, Nick","607259","24.7","16.2","17.7","","25.5","15.9","","","",""
"White, Mitch","669952","44.4","7.5","","0.1","3.7","17.1","","","27.2",""
"Sampson, Adrian","592716","31.3","34.2","5.3","15.8","13.4","","","","",""
"Lodolo, Nick","666157","30.1","28.9","","","10.4","30.6","","","",""
"Feltner, Ryan","663372","35.5","20.0","","26.6","6.2","9.6","","","2.1",""
"Lorenzen, Michael","547179","20.3","23.7","11.0","4.4","22.2","2.1","","","16.2",""
"Wells, Tyler","669330","41.6","","27.2","","18.4","7.0","","","5.9",""
"Luzardo, Jesús","666200","29.1","18.2","","30.1","22.6","","","","",""
"Watkins, Spenser","657093","38.2","2.1","28.1","0.1","4.1","9.7","","","17.6",""
"Ureña, José","570632","6.8","52.7","","24.5","16.0","","","","",""
"Severino, Luis","622663","48.4","0.9","8.0","20.0","22.2","","","","0.4",""
"Alexander, Tyler","641302","23.4","19.5","27.7","0.9","18.5","","","","9.9",""
"Civale, Aaron","650644","8.9","21.6","35.0","1.8","","27.5","3.6","","1.5",""
"Contreras, Roansy","672710","48.5","","","34.5","2.9","14.1","","","",""
"Senzatela, Antonio","622608","53.3","5.8","","27.1","7.4","6.5","","","",""
"Rodriguez, Eduardo","593958","35.5","19.8","24.4","4.1","16.2","","","","",""
"Garrett, Braxton","666129","24.3","23.3","","","9.8","10.2","","","32.4",""
"Williams, Trevor","592866","52.9","12.5","","11.7","13.1","9.7","","","",""
"Crowe, Wil","640444","15.9","21.7","","31.2","28.1","3.0","","","0.1",""
"Yarbrough, Ryan","642232","18.7","","30.3","","23.9","","","","26.9","0.1"
"Peralta, Freddy","642547","54.9","","","12.3","10.4","16.0","","","6.4",""
"Hendricks, Kyle","543294","26.5","31.0","","","30.7","11.9","","","",""
"Burke, Brock","656271","62.3","4.6","","19.8","13.2","","","","",""
"Crawford, Kutter","676710","38.5","","31.9","5.4","5.1","16.9","2.2","","",""
"Falter, Bailey","663559","28.5","35.8","","14.8","4.0","16.9","","","",""
"Oller, Adam","670124","37.5","5.6","24.7","9.3","12.4","9.0","","","","1.5"
"Brieske, Beau","689225","45.4","7.9","","20.7","22.1","3.8","","","",""
"Velasquez, Vince","592826","44.3","7.5","","22.6","8.9","16.6","","","",""
"Scott, Tanner","656945","37.9","","","62.1","","","","","",""
"Gore, MacKenzie","669022","60.9","","","15.7","5.3","18.0","","","",""
"Moore, Matt","519043","45.0","","","","16.8","38.2","","","",""
"Cessa, Luis","570666","20.4","21.6","","38.9","19.0","","","","",""
"Akin, Keegan","669211","52.0","","","29.5","18.1","0.4","","","",""
"Smith, Caleb","592761","45.3","0.3","","28.9","22.2","3.2","","","",""
"Sánchez, Aníbal","434671","17.5","18.4","27.3","5.7","25.6","5.6","","","",""
"Heaney, Andrew","571760","62.5","","","32.4","5.1","","","","",""
"Ramírez, Erasmo","541640","4.7","39.3","45.9","","3.4","6.7","","","",""
"Cabrera, Edward","665795","20.0","11.7","","15.1","32.3","21.0","","","",""
"Coleman, Dylan","669395","57.0","0.5","","13.4","","","","","29.1",""
"Adon, Joan","672851","63.5","5.8","","0.7","6.8","23.2","","","",""
"Nelson, Nick","656793","42.9","0.1","","24.2","29.2","3.6","","","",""
"Chavez, Jesse","445926","0.5","26.3","58.6","","12.9","1.7","","","",""
"Barlow, Scott","605130","24.0","0.3","","44.6","","31.1","","","",""
"Winckowski, Josh","670174","12.7","35.8","11.0","28.0","12.6","","","","",""
"Eflin, Zach","621107","15.6","39.8","15.0","3.4","6.1","20.1","","","",""
"Baker, Bryan","641329","56.1","","","26.4","17.4","","","","",""
"Cishek, Steve","518553","28.3","34.1","","37.1","0.4","","","","",""
"De Jong, Chase","608328","46.8","","","29.2","0.9","22.9","0.1","","",""
"Diekman, Jake","518617","41.5","22.3","","","1.2","","","","35.1",""
"Rogers, Tyler","643511","2.8","51.1","","46.1","","","","","",""
"Whitlock, Garrett","676477","12.1","50.1","","16.7","19.8","","","","1.3",""
"Keuchel, Dallas","572971","6.3","44.2","15.3","8.0","26.3","","","","",""
"Richards, Trevor","670950","43.9","0.1","","18.4","37.6","","","","",""
"López, Jorge","605347","5.2","49.8","","10.7","15.6","18.8","","","",""
"Alexander, Jason","669920","4.7","56.5","","","15.7","","","","23.2",""
"Jax, Griffin","643377","33.6","0.1","","","13.7","4.2","","","48.4",""
"Phelps, David","475479","29.7","11.7","24.7","","7.5","26.4","","","",""
"Wick, Rowan","592858","55.8","0.2","17.2","5.3","0.1","21.4","","","",""
"Smeltzer, Devin","656970","39.7","0.4","9.7","","25.7","17.9","","","6.6",""
"Zimmermann, Bruce","669145","29.7","16.5","4.9","16.9","18.5","9.7","3.8","","0.1",""
"Pagán, Emilio","641941","51.7","","19.2","2.0","","2.5","24.7","","",""
"Barria, Jaime","642545","15.2","24.0","","47.1","13.7","","","","",""
"Doval, Camilo","666808","","26.0","30.3","43.6","","","","","",""
"Davis, Austin","656354","43.3","2.2","0.1","","16.0","0.3","","","38.1",""
"Ruiz, José","614179","47.4","0.6","","","22.5","29.4","","","",""
"Winder, Josh","680739","40.4","","","33.4","14.2","12.0","","","",""
"Minter, A.J.","621345","49.8","","32.1","","18.1","","","","",""
"Soto, Gregory","642397","31.6","45.8","","21.6","1.0","","","","",""
"Stratton, Chris","608717","43.1","1.8","","19.2","7.0","28.9","","","",""
"Hernández, Elieser","622694","44.0","6.4","","36.1","13.5","","","","",""
"Montero, Rafael","606160","45.7","22.7","","12.2","19.4","","","","",""
"Brebbia, John","605154","45.8","0.4","","53.8","","","","","",""
"Boxberger, Brad","502202","55.0","","","22.5","22.6","","","","",""
"Milner, Hoby","571948","4.7","42.3","","","20.3","","","","32.7",""
"Maton, Phil","664208","42.3","6.8","1.2","","0.1","31.6","","","18.0",""
"McHugh, Collin","543521","0.8","","47.5","","","3.4","","","48.3",""
"Leiter Jr., Mark","643410","22.8","23.0","9.7","5.2","","16.7","22.7","","",""
"Rogers, Taylor","573124","0.2","42.8","","","","","","","57.1",""
"Vest, Will","676684","56.0","0.2","","33.2","10.5","","","","",""
"Strickland, Hunter","519326","51.6","5.8","0.2","38.8","3.6","","","","",""
"Germán, Domingo","593334","27.5","12.0","","","23.2","37.3","","","",""
"Lugo, Seth","607625","29.4","21.4","","13.5","1.7","34.0","","","",""
"Sears, JP","676664","56.6","","","","17.5","25.7","","","0.2",""
"Kimbrel, Craig","518886","68.5","","","","","26.4","","","5.1",""
"Tate, Dillon","622253","","51.3","","0.2","23.8","","","","24.8",""
"Puk, A.J.","640462","45.3","16.4","","34.1","1.2","","","","2.9",""
"Beede, Tyler","595881","23.0","23.8","","15.3","26.4","11.5","","","",""
"Suter, Brent","608718","65.0","5.7","","4.3","25.0","","","","",""
"Williams, Devin","642207","37.7","","0.7","3.5","58.1","","","","",""
"Crismatt, Nabil","622503","23.1","5.9","","0.5","50.1","20.4","","","",""
"Ottavino, Adam","493603","12.3","32.6","5.2","","7.1","","","","42.8",""
"Díaz, Alexis","664747","64.6","0.1","","35.2","","0.1","","","",""
"Finnegan, Kyle","640448","78.8","","","12.3","","","8.9","","",""
"Robertson, David","502085","","","51.0","22.2","","26.7","","","",""
"Hicks, Jordan","663855","1.2","64.6","","0.4","2.5","","0.1","","31.2",""
"Armstrong, Shawn","542888","28.9","35.6","28.4","","","","","","0.4","6.7"
"Lange, Alex","656638","2.0","29.7","","","19.5","48.8","","","",""
"Buehler, Walker","621111","34.7","4.1","25.0","","7.8","16.8","","","11.5",""
"Fulmer, Michael","605242","15.3","13.2","63.3","","6.0","2.1","","","",""
"Cimber, Adam","643256","34.8","29.8","","35.4","","","","","",""
"Martin, Davis","663436","46.3","","","32.2","10.8","10.7","","","",""
"Pilkington, Konnor","663455","63.4","","","7.9","21.5","7.2","","","",""
"García, Yimi","554340","44.3","14.1","","17.2","7.3","16.8","","","0.3",""
"Graveman, Kendall","608665","12.6","42.5","","27.8","13.5","3.6","","","",""
"Hernández, Carlos","672578","49.0","1.0","","18.1","","21.6","10.3","","",""
"Sanmartin, Reiver","665665","19.5","21.7","","26.7","32.1","","","","",""
"Stephan, Trevor","663986","47.4","","","24.8","","","27.7","","",""
"Muñoz, Andrés","662253","35.1","0.3","","64.6","","","","","",""
"Duran, Jhoan","661395","49.2","","","3.2","","31.2","16.4","","",""
"Logue, Zach","656657","49.3","0.5","20.8","","13.6","15.8","","","",""
"Estévez, Carlos","608032","70.4","0.2","","14.8","14.5","0.1","","","",""
"Givens, Mychal","571710","51.4","0.1","","29.8","18.7","","","","",""
"Schreiber, John","670167","29.6","25.2","","","7.5","","","","37.7",""
"Abreu, Bryan","650556","45.0","0.4","","44.2","0.3","10.1","","","",""
"Hill, Garrett","682051","46.2","13.1","","18.4","11.6","10.8","","","",""
"Morgan, Eli","669212","55.2","","0.1","15.8","27.8","1.1","","","",""
"García, Jarlín","606424","3.4","39.4","","28.3","28.9","","","","",""
"Martinez, Adrián","661309","50.3","","","22.1","27.6","","","","",""
"Edwards Jr., Carl","605218","67.6","0.2","","","9.7","22.6","","","",""
"Neris, Héctor","593576","42.2","20.4","","6.6","","","30.8","","",""
"Norris, Daniel","596057","34.3","7.9","","0.9","27.9","1.5","","","27.5",""
"Sanchez, Aaron","592717","20.6","40.3","","","10.7","28.4","","","",""
"Jansen, Kenley","445276","","21.9","65.0","13.1","","","","","",""
"Acevedo, Domingo","642758","43.3","","","34.6","22.1","","","","",""
"Underwood Jr., Duane","621249","11.6","26.3","27.0","","21.7","13.4","","","",""
"Murfee, Penn","682171","40.6","8.4","","","","","","","51.0",""
"Beeks, Jalen","656222","48.1","0.1","1.4","1.1","49.2","","","","",""
"Bello, Brayan","678394","18.7","35.2","","22.0","23.7","0.5","","","",""
"Machado, Andrés","600921","30.5","33.9","","20.0","15.6","","","","",""
"Thielbar, Caleb","573204","49.4","","","","1.0","24.7","","","24.9",""
"Herget, Jimmy","623474","3.8","27.6","","34.0","7.5","","","","27.0",""
"Bautista, Félix","642585","2.4","58.9","","12.3","","","26.4","","",""
"Santana, Dennis","642701","7.3","39.0","","40.5","13.3","","","","",""
"Manning, Matt","666159","51.1","8.0","","1.7","7.5","10.5","","","21.2",""
"Bickford, Phil","641360","68.0","","","31.9","0.1","","","","",""
"Romano, Jordan","605447","48.1","0.1","","51.8","","","","","",""
"Gallegos, Giovanny","606149","47.7","0.2","","47.2","5.0","","","","",""
"Bass, Anthony","542914","9.9","30.3","","55.8","","","4.0","","",""
"Smith, Will","519293","41.2","0.5","","48.2","0.9","9.1","","","",""
"Brasier, Ryan","518489","44.0","11.8","","42.9","1.3","","","","",""
"López, Reynaldo","625643","55.0","","","32.3","4.8","7.9","","","",""
"Oviedo, Johan","670912","43.4","","","39.7","5.5","11.4","","","",""
"Iglesias, Raisel","628452","36.5","13.5","","26.0","24.0","","","","",""
"Krehbiel, Joey","607216","34.5","","28.1","4.2","33.2","","","","",""
"Holmes, Clay","605280","","80.2","0.1","6.5","","","","","13.2",""
"Poche, Colin","621363","77.5","","","1.4","","21.0","","","",""
"Sewald, Paul","623149","50.9","0.5","","","","","","","48.6",""
"Luetge, Lucas","476595","0.4","","54.2","0.2","","14.2","","","31.0",""
"Shaw, Bryan","543766","0.6","5.5","74.7","2.0","2.9","8.4","0.7","","5.3",""
"Okert, Steven","595345","31.9","","","68.1","","","","","",""
"Loup, Aaron","571901","0.2","48.5","36.0","","12.5","2.8","","","",""
"Faedo, Alex","656412","51.8","0.2","","35.0","13.0","","","","",""
"García, Luis","472610","2.2","52.8","","3.7","","","12.9","","28.4",""
"Bellatti, Andrew","571479","40.4","","","52.4","7.2","","","","",""
"Helsley, Ryan","664854","57.0","","","31.9","0.6","10.5","","","",""
"Foley, Jason","671345","7.7","61.9","","16.2","6.9","","","","7.3",""
"Trivino III, Lou","642152","18.1","29.6","15.5","","10.7","2.3","","","23.8",""
"Bard, Daniel","453268","2.5","52.4","","42.5","2.4","","","","","0.2"
"Payamps, Joel","606303","28.5","22.1","","","13.3","","","","36.1",""
"Hughes, Brandon","676714","48.2","4.9","","45.7","1.2","","","","",""
"Vesia, Alex","681911","63.1","","","32.4","4.5","","","","",""
"Hendriks, Liam","521230","60.4","0.1","","29.0","","10.4","","","",""
"Hentges, Sam","656529","29.4","33.5","","15.9","","21.2","","","",""
"Stephens, Jackson","623451","35.9","22.1","","3.5","9.6","28.8","","","",""
"Hader, Josh","623352","0.3","69.1","","28.3","2.2","","","","",""
"Adam, Jason","592094","32.1","","","","32.2","","","","35.8",""
"deGrom, Jacob","594798","47.4","","","39.3","8.2","5.1","","","",""
"Jiménez, Joe","641729","63.5","0.2","","30.8","5.4","","","","",""
"Brash, Matt","666374","35.9","","","37.8","0.7","25.6","","","",""
"Schmidt, Clarke","657376","16.1","23.0","","","4.8","18.1","","","38.0",""
"Díaz, Edwin","621242","41.9","","","58.1","","","","","",""
"Kuhnel, Joel","669270","24.6","29.9","","30.0","15.4","","","","",""
"Phillips, Evan","623465","18.9","9.9","27.1","","","","","","44.2",""
"Clase, Emmanuel","661403","1.5","0.7","59.7","38.1","","","","","",""
"Houck, Tanner","656557","23.5","29.6","","40.8","","","6.0","","",""
"Stephenson, Robert","596112","47.7","0.1","","50.5","","1.1","0.5","","",""
"Davidson, Tucker","656353","41.3","1.6","","44.0","4.5","8.0","0.5","","",""
"Bush, Matt","456713","48.4","0.2","16.2","","","35.2","","","",""
"Pérez, Cionel","672335","45.0","15.6","","","","2.3","","","","37.1"
"Chafin, Andrew","605177","27.1","40.6","","31.9","0.3","","","","",""
"Festa, Matt","670036","43.3","0.2","","","","","","","56.5",""
"Banks, Tanner","621383","44.9","","","29.7","20.1","","","","5.4",""
"Stanek, Ryne","592773","58.3","0.1","","18.5","","","23.0","","",""
"Tepera, Ryan","572193","31.6","16.7","","37.1","8.8","0.8","","","4.9",""
"Rucker, Michael","621074","43.8","0.2","4.4","25.5","8.5","17.6","","","",""
"Mayers, Mike","594577","45.8","0.9","8.3","34.8","7.5","2.6","","","",""
"Jackson, Zach","667427","54.2","","0.2","44.6","0.9","","","","",""
"Melancon, Mark","453343","1.8","1.2","62.8","1.8","","30.0","2.4","","",""
"García, Rony","665621","44.2","13.1","","","11.0","31.7","","","",""
"Alvarado, José","621237","0.5","55.4","42.9","","","1.2","","","",""
"Swanson, Erik","657024","54.8","","","19.7","","","25.5","","",""
"Wilson, Steven","621051","52.2","","","10.3","5.6","","","","31.9",""
"Elder, Bryce","693821","18.3","42.7","","26.9","12.0","","","","",""
"Kennedy, Ian","453178","81.4","","2.1","1.7","0.9","4.0","9.8","","",""
"Floro, Dylan","571670","26.7","36.4","","21.9","15.1","","","","",""
"Mantiply, Joe","573009","1.9","41.9","","","26.0","30.2","","","",""
"Clarke, Taylor","664199","42.4","","","36.2","21.4","","","","",""
"Martin, Chris","455119","43.1","8.3","31.8","","","3.7","9.2","","3.9",""
"Marte, Yunior","628708","25.2","36.7","","38.0","0.1","","","","",""
"Ober, Bailey","641927","49.1","","","23.7","15.6","11.7","","","",""
"Matz, Steven","571927","","48.5","","2.6","28.9","20.0","","","",""
"Hoffman, Jeff","656546","48.8","1.5","","23.7","0.4","","25.6","","",""
"Raley, Brooks","548384","0.2","22.7","19.1","","19.6","","","","38.3",""
"Abbott, Cory","676265","50.9","","","26.9","","22.2","","","",""
"De Los Santos, Enyel","660853","60.5","","","28.4","11.1","","","","",""
"Rodríguez, Joely","570257","6.4","48.9","","5.8","38.8","","","","",""
"Bednar, David","670280","53.7","","","","","29.5","16.9","","",""
"Castillo, Diego","650895","5.4","31.3","","63.3","","","","","",""
"Sawamura, Hirokazu","617228","48.8","","","13.7","","","37.5","","",""
"Farmer, Buck","571656","44.6","","","31.4","24.0","","","","",""
"Ramirez, Noé","598287","37.4","","","","31.1","31.5","","","",""
"Wantz, Andrew","681806","49.1","0.4","16.5","","5.5","","","","28.5",""
"Leone, Dominic","608678","36.7","0.5","27.1","35.7","","","","","",""
"Domínguez, Seranthony","622554","37.5","32.1","1.0","24.7","4.7","","","","",""
"Familia, Jeurys","544727","24.4","46.4","","14.8","","","14.4","","",""
"Lambert, Jimmy","669424","44.6","","","33.0","14.2","8.2","","","",""
"Hand, Brad","543272","27.9","20.0","","","","","","","52.1",""
"Peralta, Wandy","593974","3.1","38.7","","15.7","42.6","","","","",""
"Effross, Scott","664123","10.1","34.8","","0.1","15.0","","","","40.0",""
"Pruitt, Austin","643493","34.6","","","40.5","5.4","19.4","","","",""
"Garrett, Amir","607237","35.0","8.6","","56.5","","","","","",""
"Colomé, Alex","517008","15.4","0.1","84.4","","","","","","",""
"Suarez, Robert","663158","44.6","21.2","8.4","0.7","21.0","4.1","","","",""
"Gilbreath, Lucas","656458","73.2","","","25.6","","","1.1","","",""
"Knebel, Corey","608349","69.8","","","3.0","","27.2","","","",""
"Megill, Tylor","656731","57.0","","1.9","20.4","18.2","2.5","","","",""
